Product,Agriculture,Forestry,Fishing,Coal  extraction,Oil and gas  extraction,Metal ores extraction,Other mining and quarrying,Meat processing,Fish and fruit processing,Oils and fats processing,Dairy products,Grain milling and starch,Animal feed,"Bread,  biscuits, etc",Sugar,Confectionery,Other food products,Alcoholic beverages,Soft drinks & mineral waters,Tobacco products,Textile fibres,Textile weaving,Textile finishing,Made-up textiles,Carpets and rugs,Other textiles,Knitted goods,Wearing apparel & fur products,Leather goods,Footwear,Wood and  wood products,"Pulp, paper and paperboard",Paper and paperboard products,Printing and publishing,"Coke ovens, refined petroleum & nuclear fuel",Industrial gases  and dyes,Inorganic chemicals,Organic chemicals,Fertilisers,Plastics & Synthetic resins etc,Pesticides,"Paints,  varnishes, printing ink etc",Pharma- ceuticals,Soap and toilet preparations,Other Chemical products,Man-made fibres,Rubber products,Plastic products,Glass and glass products,Ceramic goods,Structural clay products,"Cement, lime and plaster","Articles of  concrete,  stone etc",Iron and  steel,Non-ferrous metals,Metal castings,Structural metal products,Metal boilers & radiators,"Metal forging, pressing, etc","Cutlery, tools etc",Other Metal products,Mechanical power equipment,General purpose machinery,Agricultural machinery,Machine tools,Special purpose machinery,Weapons and ammunition,Domestic appliances nec,Office machinery & computers,Electric motors and generators etc,Insulated wire and cable,Electrical equipment nec,Electronic components,"Transmitters for TV, radio and phone",Receivers for TV and radio,Medical and precision  instruments,Motor vehicles,Shipbuilding and repair,Other transport equipment,Aircraft and spacecraft,Furniture,Jewellery & related products,Sports goods and toys,"Miscellaneous manufacturing nec, recycling",Electricity production & distribution,Gas distribution,Water supply,Construction,"Motor vehicle distribution & repair, fuel",Wholesale distribution,Retail distribution,"Hotels, catering, pubs etc",Railway transport,Other land transport,Water transport,Air Transport,Ancillary Transport services,Postal and courier services,Telecom- munications,Banking and finance,Insurance and pension funds  (pt),Auxiliary financial services,Owning and dealing in real estate,Letting of dwellings,Estate agent activities,Renting of machinery etc,Computer services,Research and development (pt),Legal activities,Accountancy services,"Market research, management consultancy",Architectural  activities &  Tech. Consult,Advertising,Other business services  (pt),Public administration & defence  (pt),Education  (pt) ,Health and veterinary services  (pt) ,Social work activities  (pt) ,Sewage and Sanitary services (pt),Membership organisations nec  (pt),Recreational services (pt),Other service activities (pt),Private Households with employed persons,GG -  Public administration & defence (115 pt),GG -  Education  (116 pt),GG -  Health and veterinary services  (117 pt),GG -  Social work activities  (118 pt),GG -  Sewage and Sanitary services (119 pt),GG -  Recreational services  (121 pt),NPISHs -  Insurance and pension funds (101 pt),NPISHs -  Research and development  (108 pt) ,NPISHs -  Other business services  (114 pt) ,NPISHs -  Education  (116 pt) ,NPISHs -  Health and veterinary services (117 pt) ,NPISHs -  Social work activities (118 pt) ,NPISHs -  Membership organisations nec (120 pt) ,NPISHs -  Recreational services  (121 pt) ,NPISHs -  Other service activities  (122 pt) ,FISIM
Wood and wood products,11,1,0,2,2,0,3,25,1,0,6,1,3,1,3,1,1,10,7,0,0,0,0,1,0,0,0,0,0,0,1099,296,42,13,1,0,1,14,1,2,3,8,3,1,2,0,1,34,0,0,0,1,20,1,0,0,87,0,0,2,24,8,6,0,0,4,2,3,0,0,17,0,0,0,1,2,76,22,0,5,824,2,35,34,0,0,0,1448,11,22,28,33,4,3,2,0,7,1,6,3,5,5,1,3,7,5,4,1,6,2,4,4,4,17,0,9,1,2,2,4,35,2,0,11,33,0,2,0,9,0,0,0,5,0,2,2,3,0,0
"Pulp, paper and paperboard",1,0,0,0,0,0,0,6,0,0,9,0,0,1,0,0,0,2,10,0,1,1,1,1,1,7,4,2,0,0,31,330,1107,1006,0,0,0,0,0,0,0,0,3,0,27,0,1,61,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,33,5,25,24,7,0,5,0,0,0,0,1,1,0,2,2,5,0,2,1,1,1,1,0,2,13,2,0,2,0,1,1,1,7,1,0,19,0,18,0,0,0,0,0,0,1,0,1,0,1,0,0
Paper and paperboard products,153,0,0,0,0,0,4,234,226,10,171,139,71,173,11,152,204,160,91,78,4,5,7,8,8,10,18,32,3,17,12,5,501,942,5,7,2,7,0,5,7,10,164,302,33,8,6,132,40,9,4,11,16,7,3,3,13,7,22,11,23,37,32,6,4,9,7,22,114,26,8,34,13,30,33,50,47,5,4,14,67,3,38,165,28,8,13,63,70,341,141,117,7,62,0,7,42,8,20,132,199,81,17,40,10,14,20,10,23,30,25,82,48,89,0,91,91,14,8,7,67,6,0,301,80,42,30,10,24,1,0,1,47,6,14,4,6,0,0
Printing and publishing,34,7,0,6,0,0,8,21,23,4,32,5,21,27,3,3,19,20,4,16,4,4,7,7,6,7,13,32,4,4,12,21,58,3569,52,14,8,16,1,36,6,23,125,31,27,4,11,82,18,43,2,0,13,33,13,8,8,13,56,11,30,37,49,4,32,32,8,13,59,27,11,33,33,43,20,76,92,8,4,38,30,3,6,11,76,58,17,186,235,648,212,112,22,173,5,27,268,28,86,1067,941,210,32,77,31,21,95,9,252,66,111,169,113,192,0,135,169,58,27,22,212,75,0,425,305,31,29,14,155,3,0,2,71,11,56,13,19,2,0
"Coke ovens, refined petroleum & nuclear fuel",145,4,13,21,76,0,31,27,11,1,22,5,23,20,2,1,4,34,6,0,2,1,5,5,3,4,4,9,2,1,21,7,21,28,309,10,33,208,1,74,1,6,5,9,16,0,10,27,11,4,5,6,22,80,10,3,17,5,36,3,17,13,24,5,3,15,1,6,4,8,4,5,1,2,3,15,20,9,2,6,25,1,5,20,572,1,7,74,96,453,192,135,48,803,120,352,62,22,51,82,67,12,4,8,3,44,35,11,10,11,12,25,8,57,0,15,30,11,24,6,60,10,0,126,37,4,10,6,2,0,1,1,8,2,11,4,6,0,0
Industrial gases and dyes,1,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,177,0,5,10,35,5,7,5,23,0,6,0,0,28,4,2,9,98,0,60,0,140,1,88,5,28,7,24,2,24,4,0,0,0,12,9,3,0,0,1,10,0,0,4,0,0,0,0,1,0,0,2,0,2,0,0,0,6,12,0,0,2,0,0,0,7,3,0,2,22,1,4,5,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,14,0,3,1,6,3,0,5,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
Inorganic chemicals,0,0,0,0,11,0,8,0,0,1,0,3,0,3,3,0,0,10,0,0,2,1,3,1,0,5,1,0,4,0,0,25,1,0,115,68,77,71,6,85,17,48,40,24,74,32,24,9,10,2,1,2,6,12,20,0,1,0,11,0,5,3,0,0,0,0,0,0,0,1,0,2,8,0,0,0,2,0,0,1,0,0,0,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,9,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Organic chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,2,0,0,1,11,3,89,0,38,21,7,15,8,24,2,3,4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fertilisers,474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,126,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,1,2,28,1,0,1,2,0,0,0,1,0,0,0,0,0,1,1,3,0,0
Plastics & Synthetic resins etc,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,50,0,21,11,0,0,0,26,19,11,22,8,0,0,0,9,0,414,1,154,3,10,84,80,110,1317,28,0,0,0,27,0,0,1,0,0,11,8,6,29,0,9,0,0,4,67,15,29,49,16,24,15,12,38,128,10,0,21,0,0,5,76,0,0,0,47,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,0,3,0,2,1,0,12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pesticides,566,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,2,25,22,0,2,5,0,1,11,0,2,2,3,1,0,0,0,0,0,3,0,0,0,0,0,14,0,14,9,3,28,2,19,22,0,0,2,0,1,0,3,0,0,0,7,1,3,1,2,1,0
"Paints, varnishes, printing ink etc",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,7,93,300,0,0,0,0,0,0,5,153,0,0,2,0,0,99,0,29,1,0,2,0,2,0,58,27,42,3,65,2,36,9,5,0,0,16,6,24,5,20,1,0,0,0,152,22,14,14,54,1,7,35,0,0,0,159,3,10,19,14,8,6,0,0,2,0,3,4,4,2,1,1,0,1,3,1,1,1,1,3,11,7,0,7,2,2,3,3,30,8,0,35,43,0,2,5,8,0,0,0,3,0,2,2,3,0,0
Pharmaceuticals,56,0,0,0,0,0,0,0,2,0,0,13,121,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,962,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,17,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,7,628,6,2,1,5,7,0,23,7,1172,0,0,4,0,0,0,4,42,6,1,0,0,0
Soap and toilet preparations,4,0,0,0,0,0,0,3,1,0,12,0,0,10,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,15,34,37,5,10,1,6,2,2,2,4,3,4,2,4,0,2,5,3,1,1,1,2,7,23,0,17,55,14,22,3,34,57,0,27,38,4,12,6,3,0,0,0,9,4,14,2,3,1,0
Other Chemical products,2,1,0,2,0,0,5,4,2,0,5,1,23,1,0,12,37,0,0,1,0,0,0,0,0,0,0,0,0,2,11,5,21,117,36,1,0,0,1,0,13,3,1,35,173,0,4,17,0,0,0,0,1,0,2,0,0,0,4,0,2,0,0,0,0,0,24,0,2,0,0,0,9,0,0,8,11,0,0,0,6,0,1,4,0,0,0,24,16,15,31,2,1,5,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,9,0,6,25,3,15,2,57,23,0,3,5,2,0,0,2,0,0,0,3,2,3,1,5,1,0
Man-made fibres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,54,0,2,0,37,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubber products,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,7,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,137,30,0,0,0,0,4,0,0,0,0,0,0,0,0,4,30,35,2,5,0,0,14,6,2,13,0,0,0,26,413,4,5,10,0,0,12,0,0,0,0,60,167,222,34,0,5,201,0,17,4,7,44,1,1,2,1,3,0,1,38,1,1,1,2,1,1,12,0,1,9,1,9,1,9,9,0,19,2,0,4,0,1,0,0,0,0,1,1,1,1,0,0
Plastic products,81,0,9,0,0,0,4,199,167,9,244,13,19,156,5,91,93,47,185,12,1,3,1,6,2,1,6,10,6,2,105,4,56,137,18,2,1,2,22,28,0,54,89,320,71,1,20,1098,26,21,1,0,13,3,14,2,31,0,1,66,104,1,110,37,3,14,0,11,217,89,43,88,7,5,30,229,838,9,12,6,158,0,90,182,1,58,11,2123,375,368,141,21,32,210,13,4,67,14,426,46,34,15,3,8,2,9,42,4,15,8,7,6,6,39,0,12,16,1,24,7,62,17,0,24,36,28,2,5,3,0,0,0,6,1,1,4,6,0,0
Glass and glass products,15,0,0,0,0,0,0,0,39,0,17,0,0,0,0,2,23,245,48,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,14,26,1,0,0,140,391,0,0,0,16,0,0,0,87,1,0,0,0,0,6,0,0,0,0,7,114,6,0,26,30,0,1,3,256,29,0,2,0,0,0,1,0,0,0,315,10,30,19,6,8,11,1,7,8,1,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,5,2,2,1,11,1,0,26,43,1,3,3,10,0,0,0,0,0,2,1,1,0,0
Ceramic goods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,90,7,4,2,53,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,322,7,38,11,10,2,4,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,1,1,0,1,1,0,23,24,2,2,1,8,0,0,0,0,1,1,0,0,0,0
Structural clay products,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,0,1,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,2,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"Cement, lime and plaster",21,0,0,0,2,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,316,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,280,1,69,1,0,12,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,7,1,10,1,0,29,61,2,4,9,15,0,0,0,0,0,0,1,1,0,0
"Articles of concrete, stone etc",30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3160,2,177,17,0,30,3,0,1,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,10,0,20,7,58,1,0,44,79,3,5,5,30,0,0,0,0,1,0,4,5,0,0
Iron and steel,3,0,0,10,35,0,3,3,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,1,7,2,0,3,0,2,0,0,2,1,0,1,6,33,3,0,0,0,18,1506,1,34,532,125,658,93,716,207,364,74,63,276,19,79,78,93,0,73,15,4,17,51,602,56,42,46,168,0,18,154,2,7,4,44,2,4,2,0,9,24,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Non-ferrous metals,8,0,0,0,0,0,0,0,4,0,0,0,0,2,0,9,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,3,8,1,0,0,0,0,27,1,13,0,0,2,2,17,0,0,5,75,1266,112,107,39,189,47,251,79,205,9,5,46,23,44,49,33,178,53,29,3,21,49,274,12,4,72,30,110,3,36,1,0,0,61,2,12,24,0,1,1,0,0,0,0,8,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metal castings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,33,0,30,27,7,31,5,4,366,50,51,25,0,21,18,50,30,0,31,2,1,9,0,649,7,15,12,0,0,0,0,0,0,20,204,4,11,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Structural metal products,1,0,0,80,630,0,8,2,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,5,0,1,13,1,1,8,27,2,1,2,0,2,1,1,3,1,1,1,0,2,25,15,10,12,53,19,1,2,128,12,1,1,1,0,116,0,0,41,0,0,2,22,0,1,2,0,0,1,8,13,0,6,1,0,0,40,26,3,0,903,4,7,8,8,7,3,1,1,2,1,2,5,10,6,1,2,0,4,0,0,0,0,0,2,1,8,0,9,6,0,2,0,8,0,0,17,17,1,1,1,7,0,0,0,5,0,0,0,1,0,0
Metal boilers and radiators,0,0,2,17,53,0,8,2,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,28,3,1,5,0,3,1,1,4,2,1,1,0,2,1,0,0,0,1,3,1,1,1,170,1,1,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,16,3,1,5,1,0,0,0,48,6,2,125,15,5,1,0,1,0,16,0,2,0,2,1,1,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Metal forging, pressing, etc",0,0,0,19,5,0,10,0,5,1,7,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,36,6,2,1,3,1,4,1,1,9,3,11,1,5,28,2,1,1,1,6,41,8,9,227,30,618,74,83,699,548,59,136,436,61,92,249,202,14,254,84,120,133,250,1493,31,62,664,13,1,42,1,4,3,1,241,42,28,8,0,4,6,0,2,2,1,5,3,4,0,0,0,0,1,5,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutlery, tools etc",12,0,0,4,0,0,7,5,1,0,1,1,2,2,0,1,2,8,1,1,1,2,1,2,1,3,2,11,0,0,62,4,9,11,2,1,1,3,0,6,0,0,36,5,1,1,7,124,13,7,2,1,9,59,26,17,44,12,83,57,41,65,42,7,17,2,3,2,28,12,1,18,15,9,6,12,104,12,7,52,2,0,0,5,7,1,3,62,2,4,1,0,1,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,1,0,0,8,22,2,1,2,3,0,0,0,0,1,1,0,0,0,0
Other metal products,26,0,0,8,11,0,4,30,133,0,17,1,102,21,0,23,56,304,133,0,1,1,0,8,0,6,5,38,22,4,31,1,5,9,68,9,1,1,0,1,11,57,14,188,10,0,139,184,17,2,1,1,21,88,7,10,58,17,66,38,287,66,123,24,15,0,9,52,27,151,96,63,17,10,23,17,287,50,12,161,93,0,3,65,5,3,1,333,17,48,57,1,4,6,1,1,4,1,5,3,3,1,0,0,0,1,3,0,0,0,0,0,3,4,0,1,9,0,6,0,3,0,0,7,12,2,1,0,5,0,0,0,0,1,0,0,0,0,0
Mechanical power equipment,0,0,0,5,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,21,5,1,5,1,5,2,1,7,3,2,2,1,7,1,0,0,0,2,6,2,2,1,39,2,1,2,417,199,32,33,118,16,5,0,72,0,0,0,0,0,0,352,45,22,19,1,0,0,1,18,18,10,180,56,15,6,0,1,4,1,0,0,0,8,0,0,0,0,1,0,2,8,0,0,0,1,0,2,2,0,0,0,0,1,0,1,0,0,23,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
General purpose machinery,1,0,1,120,18,0,50,30,15,2,16,5,15,17,9,19,11,25,10,2,1,1,1,1,1,1,2,6,0,2,15,5,3,11,25,12,4,15,1,12,4,3,66,7,4,5,6,23,16,9,6,6,19,59,17,13,10,7,18,3,21,15,180,2,2,3,5,1,10,3,1,4,9,1,2,4,61,19,2,10,6,2,1,3,10,5,27,347,64,22,7,0,2,2,3,0,1,1,11,1,1,0,0,1,0,3,9,0,0,0,1,0,2,3,0,0,0,0,2,0,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Agricultural machinery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,65,47,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine tools,0,0,0,3,19,0,9,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,9,2,1,6,0,1,0,1,0,1,0,0,1,0,0,0,4,16,1,0,0,0,2,46,10,11,12,6,13,2,11,8,17,3,26,8,2,2,6,5,1,4,8,2,1,5,17,4,1,9,6,2,1,2,6,0,0,17,11,8,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Special purpose machinery,1,0,0,51,6,0,18,51,26,2,27,6,18,27,17,22,17,38,15,4,10,15,9,5,8,13,25,22,2,10,17,59,59,130,42,13,5,14,1,13,5,4,22,7,4,6,17,56,10,6,5,5,17,49,20,15,8,6,19,4,16,9,34,2,2,303,7,2,1,6,1,3,10,1,2,4,13,2,1,2,17,3,1,11,5,1,0,23,16,11,8,0,1,3,0,1,1,0,3,2,2,1,0,0,0,9,2,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Weapons and ammunition,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Domestic appliances nec,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,39,18,21,48,0,1,41,1,2,3,2,6,9,9,3,1,1,1,94,7,1,2,3,1,5,3,5,0,2,2,0,0,2,15,12,0,23,6,0,0,0,2,0,0,0,1,0,0,1,1,0,0
Office machinery & computers,0,1,0,1,0,0,0,2,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,2,2,0,2,2,3,3,8,0,2,0,3,0,2,1,1,3,1,1,1,1,3,1,0,0,0,2,3,1,1,1,0,1,0,1,2,5,1,0,1,1,0,415,2,0,7,3,1,1,2,2,0,0,42,1,0,0,0,11,5,1,4,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Electric motors and generators etc,7,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,25,0,0,0,48,357,27,125,141,7,82,101,394,0,65,15,5,19,174,4,33,24,36,1,0,0,0,73,1,0,65,14,22,15,1,4,45,2,3,3,1,29,2,4,1,0,1,1,5,22,1,1,1,1,1,1,3,0,1,1,0,1,1,6,3,0,23,10,0,0,3,4,0,0,0,1,0,0,0,1,0,0
Insulated wire and cable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,18,196,70,63,38,0,36,40,54,3,0,0,6,0,0,0,0,53,0,0,142,3,1,0,0,3,3,0,1,1,1,147,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Electrical equipment nec,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,2,1,1,1,2,1,2,0,21,20,11,25,0,3,5,26,0,303,89,631,172,179,674,19,3,2,0,0,0,0,25,0,0,76,9,18,19,0,3,90,3,3,2,1,70,2,4,2,1,1,1,7,26,1,2,1,1,2,1,4,0,2,1,0,1,1,8,5,0,32,16,0,4,1,8,0,0,0,1,0,0,1,1,0,0
Electronic components,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,4,1,20,229,21,9,15,50,44,38,66,0,1,0,0,0,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
