Computer_electronic_products,230,1,29,30,503,113,7837,1163,1570,2706,7150,12170,28566,6445,30887,22839,1513,3678,3212,928,117,1358,2056,687,7407,3047,16055,1297,569,518,3871,2,151,4,234,9,6,120,425,3886,1157,26442,7017,1019,1598,115,889,283,1015,426,1524,7199,12162,12271,5184,755,1118,10654,930,271,579,41,269,405,144,5899,30727,3151,1,3091,2105,311828,172937,306942,0,517,0,4036,125726,0,14376,0,0,0,231,0,0,0,715,0,0,937308
Electrical_equipment_appliances__components,3065,291,232,88,847,32,65988,2226,202,2831,3789,19813,1879,11670,9870,3181,139,1698,1279,85,7,655,164,213,1345,1913,490,321,69,308,599,1,215,30,68,205,2,29,667,3,0,9763,727,234,105,3,0,36,2761,304,0,1716,7087,159,3357,1227,980,25,946,1623,570,111,475,970,1122,4467,1193,1769,64,2339,3338,183978,93382,41452,0,9340,0,3420,39489,0,586,0,0,0,20,0,0,0,52,0,0,371719
Motor_vehicles_bodies_trailers__parts,1070,133,1026,1037,661,56,3150,1015,877,968,1748,18230,321,375,270376,5620,481,905,3928,110,1,1553,312,262,1988,734,8316,6704,2040,362,7410,0,74,0,4699,412,0,155,4062,319,130,1637,225,110,39,0,0,0,0,1119,0,53,4599,987,9348,1651,286,461,1212,153,1834,575,144,195,869,20726,4866,78,1360,7146,754,412049,346941,352370,0,0,0,18919,120386,0,26751,0,0,0,18524,0,0,0,38424,0,0,1334364
Other_transportation_equipment,0,52,0,41,0,0,13,68,0,0,59,146,0,0,393,77556,0,0,0,0,0,0,0,0,0,0,19,133,0,0,0,762,2112,2353,0,27,0,1270,0,0,0,7,0,0,0,0,0,0,0,0,0,0,398,7,80,54,0,0,0,0,5,0,0,0,0,889,40820,828,20,0,214,128324,36123,75653,0,0,0,1639,135069,0,39566,0,0,0,225,0,0,0,75,0,0,416676
Furniture_related_products,1,0,0,0,0,0,28730,782,0,0,0,374,56,6,59,353,4997,492,0,0,0,0,0,0,0,394,734,376,0,27,2114,0,0,4,0,0,0,21,0,1,0,355,536,0,0,0,0,12262,53,0,7,1,441,10,1,0,0,435,116,1,117,426,546,5,434,329,0,0,905,13,118,56633,129046,46835,0,889,0,-123,5001,0,0,0,0,0,1,0,0,0,9,0,0,238290
Miscellaneous_manufacturing,272,7,42,43,34,0,1313,36,246,82,80,3071,2,977,2927,123,17,8716,50,140,210,0,9,18,767,155,1999,515,172,15,2143,0,2,0,7,28,0,316,444,6,3,385,181,391,73,24,0,1,1020,74,86,67,3312,39,2607,595,752,24692,24538,1520,2314,127,973,93,1055,2191,200,277,0,11618,127,104324,262035,79706,0,0,0,3356,45916,0,23,0,0,0,2,0,0,0,20,0,0,495382
Food_beverage_tobacco_products,49985,663,0,0,0,0,0,45,275,7,0,0,0,0,0,0,0,5,209461,13,1231,1619,690,472,5404,163,3038,8,4498,1212,1840,1234,2,695,85,0,0,91,0,38,21,0,91,0,0,0,0,0,0,0,0,0,7114,129,0,0,6085,19,8347,7038,11136,1049,7841,9600,77290,3775,2458,49,774,69751,0,495342,1063112,0,0,0,0,-711,78761,0,0,0,0,0,0,0,0,0,0,0,0,1636504
Textile_mills_textile_product_mills,383,141,0,3,0,0,3699,814,584,0,0,1275,0,1,6620,1202,3482,2638,291,10998,2109,4042,429,147,14,3111,3890,139,243,4838,3280,0,0,293,20,0,2,147,5,6,207,35,27,0,0,0,0,3,347,313,0,0,481,10,341,190,73,87,762,3896,1320,0,685,2843,442,1625,1313,309,2,4037,54,74249,78464,4940,0,1982,0,811,11384,0,0,0,0,0,1,0,0,0,0,0,0,171833
Apparel_leather_allied_products,76,0,0,0,0,17,0,0,1,0,0,0,0,0,3027,0,0,104,17,1276,3626,0,2129,163,0,2,1140,323,14,384,1018,0,0,0,0,0,0,0,0,25,54,3273,2,0,0,0,0,0,0,164,0,0,63,22,448,183,184,195,333,0,1476,296,80,32,300,3362,154,40,72,8656,51,32782,407290,0,0,0,0,-688,6141,0,0,0,0,0,0,0,0,0,0,0,0,445525
Paper_products,495,0,93,199,108,59,3589,692,1725,1650,2939,2307,381,1117,3739,756,1293,2426,34437,557,53,45431,8109,359,8770,5148,8249,184,2115,550,2570,16,71,11,174,1217,25,3323,563,2121,169,1081,448,2210,816,83,4,2,2139,768,478,414,4497,1018,4762,320,268,1468,3502,1931,1267,140,281,2914,3892,1758,125,1419,55,16686,43,202582,47167,0,0,0,0,292,26067,0,0,0,0,0,0,0,0,0,0,0,0,276107
Printing_related_support_activities,19,0,7,2,0,2,44,17,0,0,1,8,0,1,4,0,0,0,173,0,17,0,1536,11,953,0,10417,184,230,156,5691,7,14,0,564,75,2,773,10,4687,828,546,6578,937,2116,1636,0,0,145,255,737,263,7269,951,2951,17,1032,1985,3083,186,1540,894,267,963,682,2797,610,821,45,12724,553,79020,10736,0,0,0,0,519,2226,0,0,0,0,0,0,0,0,0,0,0,0,92500
Petroleum_coal_products,12233,991,6400,5388,4304,26783,67637,1215,861,2348,1073,1782,100,942,721,260,358,808,4314,138,21,1624,1641,24792,13852,1163,8504,1762,951,257,2791,16805,10550,3271,35367,3367,23,27020,265,389,157,1252,908,13302,6887,36,1110,142,11354,2935,72,1091,2978,2459,7624,2061,864,1159,4184,1009,780,218,1868,1790,5238,5184,26096,903,4056,127149,24636,552572,349729,0,0,0,0,-3981,122998,0,0,0,0,0,0,0,0,0,0,0,0,1021318
Chemical_products,32963,2914,8808,2951,2261,2157,16720,2837,5150,2210,9333,4967,1613,2709,12066,1752,2207,7294,9302,11264,160,15647,6419,13041,250721,65430,3013,199,81,106,1549,1,379,10,203,11,2,141,1793,688,223,886,1225,281,378,22,0,328,19976,420,406,195,15732,2196,8978,898,831,42136,36675,3774,949,348,1133,121,821,6128,1794,2005,142,44291,2797,697162,653741,2229,0,0,0,1794,193250,0,0,0,0,0,0,0,0,0,0,0,0,1548176
Plastics_rubber_products,1643,144,132,1384,1301,43,44338,965,1672,1018,3350,8754,990,2084,37213,3903,5868,7637,23367,500,88,3803,723,616,17162,20546,15734,3960,2580,454,7000,11,9,1,963,30,69,3100,629,453,104,6625,688,324,173,116,0,50,1039,1669,95,709,7741,301,2693,469,811,9517,4226,1885,1320,40,272,205,8322,6859,1906,506,25,14678,2265,299873,68567,381,0,186,0,2719,31219,0,0,0,0,0,0,0,0,0,0,0,0,402945
Wholesale_trade,1376,32,70,102,0,1180,55,352,413,1249,1327,3618,535,1790,715,72,444,2095,3779,309,28,1288,90,166,6234,1598,46051,2200,390,13,13311,136,0,0,88,0,3,0,0,854,22,1385,0,18,45,49,4,0,0,7689,0,133,0,0,73,63,23,252,105,0,0,0,105,0,37,24,0,0,0,34,0,102021,0,0,0,0,0,0,2889,0,0,0,0,0,0,0,0,0,0,0,0,104910
