Product,Agriculture,Forestry and fishing,Coal extraction etc,Extraction of oil and gas,Mineral oil processing,Electricity etc,Gas,Water,Extraction of metal ores etc,Iron and steel etc,Aluminium etc,Other non-ferrous metals,Extraction of stone etc,Clay products,Cement etc,Concrete etc,Glass,Refractory and ceramic goods,Inorganic chemicals,Organic chemicals,Fertilisers,Synthetic resins etc,"Paints, dyes etc",Special chemicals,Pharmaceuticals,Soap and toiletries,Chemical products nes,Man-made fibres,Metal castings etc,"Metal doors, windows etc",Metal packaging products,Metal goods nes,Industrial plant and steelwork,Agricultural machinery etc,Machine tools,Engineers small tools,Textile etc machinery,Processing machinery etc,Mining etc equipment,Mech power transmission equip,Other machinery etc,Ordnance etc,"Office machinery, computers etc",Insulated wires and cables,Basic electrical equipment,Industrial electrical equipment,Telecommunication etc equipment,Electronic components,Electronic consumers goods etc,Domestic electric appliances,Electric lighting equipment,Motor Vehicles and parts,Shipbuilding and repairing,Aerospace etc,Other vehicles,Instrument engineering,Oils and fats,Slaughtering and meat processing,Milk and milk products,"Fruit, veg and fish processing",Grain milling and starch,"Bread, biscuits etc",Sugar,Confectionery,Animal feeding stuffs,Miscellaneous foods,Alcoholic drink,Soft drinks,Tobacco,Woollen and worsted,Cotton etc spinning and weaving,Hosiery and other knitted goods,Textile finishing,Carpets etc,Jute etc,Leather and leather goods,Footwear,Clothing and furs,Household and other textiles,Timber and wood products,Wooden furniture etc,"Pulp, paper and board",Paper and board products,Printing and publishing,Rubber products,Processing of plastics,Other manufacturing,Construction,Distribution etc,"Hotels, catering etc",Railways,Road transport etc,Sea transport,Air transport,Transport services,Postal services,Telecommunications,Banking and finance,Insurance,Business services etc,Other services,Public administration etc,Adjusts,Total,Consumers' expenditure,GGFC,GDFCF,Stocks,Exports,TOTAL Final Demand,TOTAL
Telecommunication etc equipment,0.0,3.0,7.0,0.0,3.0,20.0,127.0,1.0,0.0,16.0,2.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,15.0,1.0,0.0,1.0,12.0,5.0,9.0,1.0,43.0,6.0,21.0,4.0,35.0,5.0,514.0,13.0,1.0,10.0,1.0,3.0,32.0,120.0,1.0,22.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,2.0,0.0,8.0,12.0,1.0,6.0,0.0,0.0,4.0,6.0,2.0,284.0,28.0,8.0,21.0,16.0,0.0,0.0,1512.0,4.0,931.0,1058.0,47.0,1990.0,4030.0,5542.0
Electronic components,0.0,0.0,15.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,14.0,1.0,8.0,12.0,18.0,2.0,20.0,21.0,203.0,13.0,18.0,41.0,242.0,62.0,44.0,1.0,13.0,5.0,10.0,55.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,0.0,0.0,0.0,876.0,0.0,37.0,0.0,199.0,1259.0,1494.0,2370.0
Electronic consumers goods etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,338.0,0.0,0.0,91.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,34.0,25.0,10.0,2.0,0.0,0.0,767.0,70.0,36.0,11.0,-189.0,410.0,338.0,1105.0
Domestic electric appliances,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,128.0,0.0,0.0,36.0,1.0,1.0,3.0,3.0,6.0,11.0,10.0,25.0,18.0,0.0,0.0,458.0,203.0,11.0,18.0,13.0,477.0,721.0,1179.0
Electric lighting equipment,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,1.0,0.0,0.0,1.0,3.0,113.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,17.0,0.0,4.0,40.0,1.0,1.0,1.0,0.0,1.0,20.0,7.0,12.0,0.0,0.0,0.0,300.0,45.0,40.0,406.0,7.0,134.0,632.0,932.0
Motor Vehicles and parts,16.0,15.0,4.0,0.0,1.0,5.0,7.0,4.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,17.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,22.0,6.0,9.0,1.0,1.0,1.0,1.0,24.0,1.0,7.0,3.0,1.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,0.0,408.0,1.0,1.0,8.0,1.0,0.0,6.0,5.0,1.0,2.0,10.0,0.0,2.0,5.0,2.0,7.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,1.0,3.0,5.0,1.0,3.0,1.0,23.0,844.0,9.0,2.0,353.0,4.0,4.0,7.0,20.0,21.0,12.0,2.0,95.0,15.0,0.0,0.0,2086.0,294.0,201.0,3928.0,-25.0,3422.0,7819.0,9905.0
Shipbuilding and repairing,0.0,19.0,0.0,236.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,195.0,633.0,311.0,43.0,383.0,1564.0,2102.0
Aerospace etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,307.0,12.0,1895.0,100.0,-59.0,3243.0,5191.0,5498.0
Other vehicles,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,256.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,195.0,9.0,67.0,11.0,177.0,458.0,759.0
Instrument engineering,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,10.0,13.0,2.0,29.0,1.0,2.0,41.0,7.0,1.0,1.0,1.0,1.0,5.0,12.0,1.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4.0,4.0,2.0,6.0,1.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,23.0,10.0,47.0,15.0,0.0,0.0,476.0,103.0,215.0,195.0,23.0,1107.0,1644.0,2120.0
