Product,Agriculture,Forestry and fishing,Coal extraction etc,Extraction of oil and gas,Mineral oil processing,Electricity etc,Gas,Water,Extraction of metal ores etc,Iron and steel etc,Aluminium etc,Other non-ferrous metals,Extraction of stone etc,Clay products,Cement etc,Concrete etc,Glass,Refractory and ceramic goods,Inorganic chemicals,Organic chemicals,Fertilisers,Synthetic resins etc,"Paints, dyes etc",Special chemicals,Pharmaceuticals,Soap and toiletries,Chemical products nes,Man-made fibres,Metal castings etc,"Metal doors, windows etc",Metal packaging products,Metal goods nes,Industrial plant and steelwork,Agricultural machinery etc,Machine tools,Engineers small tools,Textile etc machinery,Processing machinery etc,Mining etc equipment,Mech power transmission equip,Other machinery etc,Ordnance etc,"Office machinery, computers etc",Insulated wires and cables,Basic electrical equipment,Industrial electrical equipment,Telecommunication etc equipment,Electronic components,Electronic consumers goods etc,Domestic electric appliances,Electric lighting equipment,Motor Vehicles and parts,Shipbuilding and repairing,Aerospace etc,Other vehicles,Instrument engineering,Oils and fats,Slaughtering and meat processing,Milk and milk products,"Fruit, veg and fish processing",Grain milling and starch,"Bread, biscuits etc",Sugar,Confectionery,Animal feeding stuffs,Miscellaneous foods,Alcoholic drink,Soft drinks,Tobacco,Woollen and worsted,Cotton etc spinning and weaving,Hosiery and other knitted goods,Textile finishing,Carpets etc,Jute etc,Leather and leather goods,Footwear,Clothing and furs,Household and other textiles,Timber and wood products,Wooden furniture etc,"Pulp, paper and board",Paper and board products,Printing and publishing,Rubber products,Processing of plastics,Other manufacturing,Construction,Distribution etc,"Hotels, catering etc",Railways,Road transport etc,Sea transport,Air transport,Transport services,Postal services,Telecommunications,Banking and finance,Insurance,Business services etc,Other services,Public administration etc,Adjusts,Total,Consumers' expenditure,GGFC,GDFCF,Stocks,Exports,TOTAL Final Demand,TOTAL
Oils and fats,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,9.0,10.0,29.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,14.0,20.0,12.0,0.0,52.0,0.0,32.0,154.0,25.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.0,372.0,10.0,0.0,11.0,91.0,483.0,1228.0
Slaughtering and meat processing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,619.0,0.0,65.0,0.0,28.0,0.0,0.0,112.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,64.0,373.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1591.0,4182.0,177.0,0.0,10.0,463.0,4832.0,6423.0
Milk and milk products,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.0,179.0,8.0,2.0,39.0,0.0,35.0,17.0,32.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,218.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,843.0,2717.0,96.0,0.0,14.0,260.0,3087.0,3930.0
"Fruit, veg and fish processing",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,13.0,0.0,1.0,13.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,315.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,990.0,21.0,0.0,4.0,247.0,1262.0,1663.0
Grain milling and starch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,72.0,19.0,32.0,39.0,534.0,3.0,46.0,240.0,212.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,1.0,0.0,24.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301.0,75.0,6.0,0.0,12.0,55.0,148.0,1449.0
"Bread, biscuits etc",0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,327.0,0.0,0.0,5.0,4.0,2.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,759.0,2184.0,89.0,0.0,16.0,109.0,2398.0,3157.0
Sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,29.0,1.0,63.0,189.0,96.0,27.0,39.0,41.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,27.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,608.0,235.0,8.0,0.0,-50.0,74.0,267.0,875.0
Confectionery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,0.0,106.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,28.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,1628.0,54.0,0.0,34.0,253.0,1970.0,2158.0
Animal feeding stuffs,2033.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2157.0,312.0,1.0,0.0,14.0,83.0,410.0,2567.0
Miscellaneous foods,238.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,49.0,9.0,23.0,6.0,45.0,0.0,1.0,18.0,46.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,437.0,0.0,0.0,9.0,17.0,6.0,0.0,0.0,27.0,18.0,0.0,0.0,0.0,0.0,995.0,1919.0,32.0,0.0,74.0,200.0,2225.0,3219.0
Alcoholic drink,1.0,1.0,1.0,6.0,6.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,3.0,1.0,3.0,42.0,23.0,708.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,34.0,12.0,0.0,1.0,3.0,24.0,1.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,0.0,949.0,2611.0,1.0,0.0,-28.0,1183.0,3766.0,4715.0
Soft drinks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,289.0,0.0,0.0,2.0,15.0,1.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,491.0,585.0,12.0,0.0,-3.0,52.0,646.0,1137.0
Tobacco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,19.0,4.0,0.0,0.0,15.0,18.0,4.0,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0,73.0,863.0,0.0,0.0,46.0,444.0,1353.0,1426.0
Woollen and worsted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.0,27.0,130.0,7.0,124.0,4.0,1.0,2.0,133.0,0.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.0,89.0,19.0,0.0,36.0,472.0,616.0,1379.0
Cotton etc spinning and weaving,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,73.0,76.0,3.0,21.0,22.0,2.0,1.0,248.0,78.0,1.0,42.0,1.0,4.0,1.0,25.0,4.0,14.0,4.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0,56.0,9.0,0.0,7.0,398.0,470.0,1135.0
Hosiery and other knitted goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,3.0,146.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,264.0,893.0,17.0,0.0,-3.0,358.0,1264.0,1528.0
Textile finishing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,5.0,1.0,1.0,0.0,1.0,5.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,0.0,0.0,0.0,3.0,0.0,3.0,467.0
Carpets etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,84.0,46.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,33.0,15.0,28.0,13.0,0.0,0.0,296.0,308.0,15.0,5.0,13.0,101.0,442.0,738.0
Jute etc,38.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,4.0,5.0,32.0,45.0,1.0,8.0,48.0,25.0,0.0,16.0,2.0,3.0,1.0,11.0,9.0,9.0,35.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,472.0,48.0,10.0,0.0,3.0,2.0,63.0,535.0
Leather and leather goods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,75.0,11.0,0.0,0.0,2.0,4.0,3.0,0.0,1.0,2.0,1.0,0.0,17.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,224.0,83.0,3.0,0.0,0.0,358.0,444.0,668.0
Footwear,6.0,0.0,8.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,53.0,31.0,1.0,4.0,0.0,0.0,0.0,4.0,6.0,12.0,5.0,11.0,11.0,0.0,0.0,213.0,340.0,53.0,0.0,61.0,218.0,671.0,884.0
Clothing and furs,10.0,10.0,12.0,0.0,1.0,6.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,27.0,180.0,94.0,9.0,26.0,0.0,6.0,2.0,9.0,12.0,74.0,16.0,51.0,79.0,0.0,0.0,807.0,1287.0,121.0,0.0,187.0,1045.0,2639.0,3446.0
Household and other textiles,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,17.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,24.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,38.0,20.0,4.0,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,235.0,296.0,75.0,0.0,10.0,95.0,475.0,710.0
Timber and wood products,27.0,10.0,17.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,6.0,0.0,11.0,5.0,5.0,0.0,0.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,1.0,9.0,16.0,2.0,21.0,12.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,19.0,1.0,1.0,4.0,5.0,1.0,2.0,5.0,10.0,1.0,0.0,33.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,187.0,12.0,9.0,1.0,4.0,5.0,13.0,715.0,262.0,6.0,11.0,0.0,2.0,0.0,12.0,3.0,9.0,22.0,9.0,29.0,17.0,0.0,0.0,2040.0,305.0,97.0,0.0,-14.0,144.0,531.0,2571.0
Wooden furniture etc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,2.0,0.0,71.0,48.0,0.0,1.0,5.0,1.0,0.0,1.0,0.0,2.0,25.0,5.0,29.0,9.0,0.0,0.0,345.0,622.0,54.0,1578.0,26.0,111.0,2391.0,2736.0
"Pulp, paper and board",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,3.0,0.0,11.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,7.0,6.0,187.0,482.0,435.0,0.0,24.0,23.0,11.0,66.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,1.0,14.0,10.0,74.0,36.0,0.0,0.0,1547.0,65.0,13.0,0.0,10.0,424.0,512.0,2059.0
Paper and board products,52.0,0.0,3.0,0.0,1.0,16.0,10.0,3.0,3.0,18.0,8.0,7.0,0.0,1.0,12.0,29.0,33.0,22.0,10.0,13.0,3.0,15.0,20.0,40.0,67.0,103.0,36.0,6.0,17.0,5.0,14.0,58.0,6.0,2.0,2.0,5.0,7.0,7.0,7.0,6.0,34.0,2.0,17.0,7.0,16.0,20.0,39.0,19.0,15.0,20.0,17.0,41.0,6.0,53.0,4.0,21.0,18.0,68.0,91.0,64.0,16.0,92.0,18.0,110.0,38.0,158.0,117.0,33.0,111.0,10.0,8.0,20.0,6.0,3.0,7.0,4.0,15.0,26.0,8.0,20.0,36.0,23.0,177.0,68.0,17.0,91.0,52.0,27.0,422.0,8.0,4.0,15.0,0.0,2.0,5.0,0.0,3.0,61.0,25.0,53.0,21.0,0.0,0.0,3165.0,407.0,292.0,0.0,21.0,264.0,984.0,4149.0
Printing and publishing,6.0,0.0,6.0,0.0,10.0,31.0,20.0,8.0,1.0,14.0,4.0,7.0,4.0,3.0,1.0,16.0,9.0,22.0,5.0,15.0,4.0,8.0,17.0,17.0,35.0,28.0,4.0,4.0,17.0,4.0,3.0,23.0,16.0,5.0,5.0,5.0,10.0,13.0,16.0,6.0,44.0,3.0,14.0,5.0,15.0,13.0,38.0,17.0,10.0,9.0,4.0,55.0,8.0,29.0,4.0,14.0,1.0,16.0,11.0,15.0,4.0,14.0,2.0,19.0,15.0,37.0,37.0,5.0,27.0,4.0,3.0,5.0,3.0,6.0,2.0,2.0,3.0,13.0,5.0,14.0,17.0,6.0,62.0,1345.0,11.0,24.0,16.0,100.0,1009.0,30.0,16.0,18.0,11.0,38.0,571.0,25.0,178.0,837.0,721.0,314.0,335.0,0.0,0.0,6643.0,1488.0,143.0,0.0,30.0,813.0,2474.0,9117.0
