Motor_vehicles_bodies_trailers_parts,0,0,0,0,0,0,0,0,0,0,1776,1178,18,339,729952,89,1,47,0,25,0,0,0,0,0,252,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,734055,343198,0,1077252,205697,16039,221736,4856,30519,0,35376,1334364
Other_transportation_equipment,0,0,0,0,0,0,0,0,7,0,771,328,4620,77,653,315213,0,327,0,1,0,0,0,0,2,332,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322344,60183,0,382527,27479,4117,31596,505,2048,0,2553,416676
Furniture_related_products,0,0,0,0,0,0,0,495,117,0,138,6,14,2,43,0,73750,262,0,311,0,0,0,0,0,221,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75389,48392,0,123781,88567,14920,103487,755,10267,0,11022,238290
Miscellaneous_manufacturing,0,0,0,0,0,0,0,2,1,0,241,378,1186,146,115,0,274,152743,0,131,0,108,525,0,552,712,1598,0,0,0,2348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,0,1216,0,162352,96892,0,259244,203801,14923,218724,1483,15931,0,17414,495382
Food_beverage_tobacco_products,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,938176,0,0,0,0,0,8272,0,3747,0,9644,2718,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2214,0,964832,99617,0,1064449,457085,26563,483648,1295,87113,0,88408,1636504
Textile_mills_textile_product_mills,0,0,0,0,0,0,0,1,535,24,2,84,1,65,94,29,176,78,1,51479,31,161,650,0,28,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54103,32968,0,87071,71305,4498,75803,2062,6897,0,8959,171833
Apparel_leather_allied_products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,139,19075,0,25,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,20854,131876,0,152731,241211,7733,248944,18403,25448,0,43850,445525
Paper_products,0,0,0,0,0,0,0,168,228,3,3,8,5,105,0,0,17,143,118,25,0,184115,945,2,177,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,188331,25612,0,213943,45821,12317,58138,264,3761,0,4026,276107
Printing_related_support_activities,0,0,0,0,0,0,0,0,0,0,183,0,10,0,0,0,10,332,0,77,0,316,63132,0,1,195,0,0,0,0,31,0,0,0,0,0,0,0,0,1463,0,0,0,0,0,0,0,0,0,0,0,0,613,0,3047,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1721,0,71143,2917,0,74060,14055,3261,17316,18,1107,0,1124,92500
Petroleum_coal_products,0,0,29052,106,2,0,0,0,36,2492,7,1,0,0,0,0,0,28,0,0,0,0,0,623615,1635,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656992,71993,0,728985,152646,29918,182564,160,110797,-1188,109769,1021318
Chemical_products,0,0,249,2646,0,0,0,20,132,263,175,160,308,245,11,9,16,328,3456,3277,0,169,0,23394,757210,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,108,0,793042,233139,0,1026181,454604,35654,490259,2491,29259,-14,31737,1548176
Plastics_rubber_products,0,0,0,0,0,0,0,239,168,0,1455,254,347,23,294,33,150,869,2,73,0,732,462,1,3261,222213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230577,57289,0,287866,97508,6167,103676,1997,9407,0,11404,402945
Wholesale_trade,0,0,528,238,474,0,0,1081,1364,964,4811,8946,3764,1967,3024,1701,1539,5520,6641,794,571,1515,790,4717,10085,2876,1698862,0,0,0,0,20,0,0,0,13,0,87,0,11971,11,4653,594,0,0,0,0,0,0,383,0,3672,0,0,0,0,0,0,0,0,0,0,0,0,0,586,0,0,0,0,0,1784762,0,0,1784762,-1679852,0,-1679852,0,0,0,0,104910
Motor_vehicle_parts_dealers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,340,14,0,2116,0,0,0,0,0,185715,0,0,185715,-185715,0,-185715,0,0,0,0,0
Food_beverage_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198747,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,374,814,0,0,0,0,0,5409,205617,0,0,205617,-205617,0,-205617,0,0,0,0,0
General_merch_ise_stores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478,0,0,0,0,0,0,0,54,0,0,423,0,158,0,0,3211,0,0,185489,0,0,185489,-185489,0,-185489,0,0,0,0,0
Other_retail,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,878224,0,0,0,0,11,0,0,0,117,607,747,805,0,0,0,0,0,0,928,0,315,4988,0,773,128,1364,10144,1083,17,141,1408,2155,747,1742,3995,0,0,36,0,0,910493,0,0,910493,-902520,0,-902520,0,0,0,0,7972
Air_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211031,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211284,41005,-1115,251174,0,-2736,-2736,0,23293,-226,23066,271505
Rail_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,86686,0,-430,86256,0,-74918,-74918,0,783,-2597,-1814,9524
Water_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50289,0,0,0,1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,52397,0,-8661,43736,0,-11217,-11217,0,211,-23,188,32706
Truck_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,355401,0,0,1825,1880,0,0,0,0,0,0,0,0,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360036,0,-5094,354942,0,-316780,-316780,0,400,0,400,38561
Transit_ground_passenger_transportation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77230,0,440,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17622,95332,0,0,95332,0,0,0,0,1053,-69,984,96316
Pipeline_transportation,0,0,0,0,0,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,0,0,0,0,0,0,0,0,0,51977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55823,0,0,55823,0,-55178,-55178,0,79,0,79,724
Other_transportation_support_activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1154,471,0,0,3454,592,0,2489,3973,81,0,242347,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13661,268649,44,-3769,264924,0,0,0,0,354,0,354,265278
Warehousing_storage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,340,0,0,48,0,0,0,4658,0,0,1586,137449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144096,0,0,144096,0,0,0,0,169,0,169,144266
Publishing_industries_except_internet_(includes_software),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257730,0,0,14756,0,0,0,0,0,0,0,0,2646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,553,0,275907,4593,0,280501,97249,4172,101422,0,8464,0,8464,390386
Motion_picture_sound_recording_industries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,157311,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,18,1,0,159236,9665,0,168900,11018,134,11152,0,4282,0,4282,184335
